cell_data.txt
DO NOT INSERT EMPTY LINES. KEEP THE FORMAT AS IT IS
 CELL     TYPE       X          Y      CO 
EJX6247  CT0587   1684.050   1096.500   N
EJY9800  CT0587   1678.200    844.500   N
EKG2040  CT0587   1676.380   1348.500   N
EKJ7301  CT0704   1530.130    877.800  FS
EKL1882  CT0019   1722.660    520.500  FN
EKM3391  CT0589   1513.360    991.200   S
EKS5900  CT0115   1722.920   1094.700  FN
ELC1889  CT0182   1531.560    942.600   S
ELF1703  CT0587    486.230   1163.100  FN
ELF1869  CT0587   1696.010    772.500   N
ELY4391  CT0587    482.460   1184.700  FN
EMB4135  CT0587    578.790   1604.100  FN
EMH9992  CT0284   1480.470   1115.400  FS
EMN5396  CT0918   1123.100   1358.400  FS
EMO4781  CT0587    404.980   1624.800   S
EMP1553  CT0587    436.180   1103.700  FN
EMQ2417  CT0587   1683.140    628.500   N
EMQ3606  CT0078   1459.930    996.600  FS
EMR1212  CT0176    960.340   1293.600  FS
EMR8360  CT0587    482.850   1205.400   S
EMS6415  CT0704    905.610   1288.200   S
EMT6732  CT0182   1512.710    872.400  FS
EMU3982  CT0839   1371.660    953.400   S
EMX0798  CT0918    966.320   1293.600  FS
ENK7381  CT0623    342.580   1020.000  FS
ENN9675  CT0587   1711.220   1636.500  FN
ENY4893  CT0182    975.160   1266.600   S
EOD9583  CT0623   1600.590    962.400  FS
EOJ5033  CT0704   1160.280   1293.600  FS
EOL8002  CT0704   1530.780   1093.800  FS
EOL8963  CT0587    420.320   1138.800   S
EOW4429  CT0587   1680.150   1420.500   N
EQF1375  CT0839   1335.650    991.200   S
EQH1815  CT0587    470.370   1431.300  FN
EQQ7451  CT0589   1380.500    888.600  FS
ERE6420  CT0587   1704.590   1024.500   N
ERJ0574  CT0587   1694.190   1528.500   N
ERO6704  CT0587   1689.120    880.500   N
ERQ4983  CT0587   1691.070   1600.500   N
ERR1613  CT0198   1372.310   1012.800  FS
ERR1739  CT0657   1024.820   1272.000   S
ERZ9096  CT0587   1704.720   1708.500  FN
ESA1057  CT0847   1465.650    964.200   S
ESA1455  CT0704    905.350   1277.400   S
ESE5381  CT0587    372.090   1610.400   S
ESE9207  CT0198   1673.260   1672.500  FN
ESO9636  CT0587   1687.690    772.500   N
ESQ9686  CT0589   1509.720    980.400   S
ESS9953  CT0704   1479.950   1061.400   S
ESX9525  CT0561   1724.870    952.500  FN
